,idx,class,conversation
23,23,협박 대화,"너 만나려면 널 찾아가야될거아냐
난 아직 안헤어졌어. 너가 일방적으로 말한거지
내가 언제괴롭혔다고그래. 다 널 사랑해서 그런거지
너 들어가는거 봤지. 남자친구가 그정도도 못보냐? 너네집에 다른남자 숨겨뒀나보지?
뭐? 정신병? 이년이 말다했냐? 어디 다리하나 부러뜨려놔야 바람을 못피지. 일로와"
24,24,기타 괴롭힘 대화,"야. 거지!
.
왜 저 위에 다 쓰러져가는 집들 있잖아. 거기
새끼. 귀신의 집은 무너지진 않잖아. 쟤네 집은 천장에 구멍도 뚫려 있을걸. 추워서 집에서 이불 둘둘 말고 있을텐데. 용케 얼어죽진 않았네.
와 배려심봐라. 쩔어. 나도 쓰던거 있으니까 저녁 때까지는 쓸 수 있겠다.
새끼 꼴에 자존심은 있는지 얼굴 빨개지네? 그래 봤자 넌 거지새끼 못 면해."
25,25,기타 괴롭힘 대화,"아니 이놈의 마누라는 허구한날 입만 열면 돈타령이야
괜히 애들 핑계 대지마!
거짓말마 아주 뱃살이 출렁출렁
못줘! 뱃살 쳐지는 거 더이상 보기 싫어서라도 못줘
저리가 이 여편네야 정떨어져"
26,26,협박 대화,"조용히 살라고 했는데 이새끼가깔짝깔짝건드네?
야 내가 잘못했어도 그걸 니가 뭔데 말해? 뭔데 신고하네 마네야
니가 경찰이야? 어? 경찰도 아닌새끼가 남의 일에 오지랖은
아 이 외골수새끼 입술 부르트도록 쳐맞아도 아직 정신 못차렸네 아 뇌는 아직 터지도록 안맞아서 그러냐?
야 니가 조용히 하는건 하나도 안중요하고 이빨 꽉 깨물어라 안그러면 이 나간다새끼야"
27,27,갈취 대화,"돈을 빌려갔으면 갚아야지
내가 왜? 내가자선사업가야? 나는 엄연한 사업가야
뭐 보니까 남은 것도 이제 얼마 없는 것 같은데 말이야
그래도 저 자동차 한대 있네?
그럼 저거라도 줘야지 남의 돈 빌려가놓고 편하게 차타고 다닐라했어? 걸어다녀야지 그러면서 몸을 떼우고 갚아야지
그럼 아쉬울때는 빌려놓고 이제와서 이제 타령하는거야? 웃기지마 저거는 내가 가져간다"
28,28,협박 대화,"이리로 와 넌 토막내서 죽여줄게
싫어 난 너의 장난감이랑 놀 시간 보네고 싶어서 그러는거야
그리고 너의 몸 장난감을 아주 잘 갖고 놀아야지 이 칼로
칼로 쑤시는 맛이 있거든
살아있는 애는 재미 없어
그 총 쏘기만 해봐 목를 썰어 주겠어"
29,29,기타 괴롭힘 대화,"병신이 아이스크림 먹게 돼 있냐?
당연히 안 되지 너 공부 개못하는 찐따잖아.
너네 학교폭력으로 신고하기 전에 그만 해.
제발 좀 저리 가.
멈춰!"
30,30,갈취 대화,"누. 누구야? 이 새끼 갑자기
뭐? 그. 그게 어때서? 우리 사. 사랑하는 사이야
저.저기 내가 한번 실수 한것 같으니 용서해주게
돈이 필요하다면 내 지분을 팔아서라도 줌세 제발
자네가 그걸 어떻게?"
31,31,기타 괴롭힘 대화,"니가 나 따라한다는 애구나?
머라는거야. 여기 사진 다 있거든. 너 내가 누군지 모르지? 너 한번 찍혀야 정신차리냐?
애 머래니? 작작 좀 나대.
야 니가 내 썸남한테 꼬리쳤다며 거짓말 하지마 내가 다 듣고 이러는거거든?
야 재 입 좀 어떻게 하자."
32,32,협박 대화,"자꾸 이런식으로 내 연락 무시하면 나도 가만 있지 않을거야
 당장 네 집에 가서 다 말할거야
 네가 자꾸 연락 무시하고 해결책을 내놓지 않잖아
 당장 집에 가서 네 와이프에게 말해
 그 정도도 생각 안하고 행동했니? 진짜 너 칼로 갈기갈기 찢어 죽여 버릴거야
 네가 그렇게 나오면 나도 이제 가만있지 않겠어"
33,33,기타 괴롭힘 대화,"야 너는 00고등학교 배정되서 어쩌냐
거기 내신 구리잖아. 애들도 다 돌대가리 아니면 일진뿐이라던데
뭐가 상관없어 니 친구들도 다 공부못하는 애들이고 노는애들 뿐일텐데
너도 걔네처럼 존나 구려지겠지? 나는고등학교가서 집 잘살고 공부잘하는 친구들 많이 사귈건데
너는 어쩌냐 인생 망했네"
34,34,기타 괴롭힘 대화,"야 손병신.
한숨 쉬었어? 야 손병신.
뭐? 병신한테 병신이라 그러는데.
야 병신아. 너 손이 그래서 똥은 어떻게 닦냐?
이 새끼가 형님이 말하는데 말대답이야?
으이구 병신 새끼!"
35,35,기타 괴롭힘 대화,"미안 근데 본거 아니야
아니야 일부러 본게 아니야
.응
미안해 잘못했어
반성문 쓸게"
36,36,직장 내 괴롭힘 대화,"나이가 몇인데 내가 이런 것까지 일러줘야돼?
기본적인 것도 탑재가 안되있으면 어떡해?
그 죄송하다는 소리좀 듣기 싫어 제대로 할수 없어?
그따위로 하다간 다음은 없을지도 몰라 제대로좀해 제발!
아주 가정에서부터 교육을 다시 받아야돼 문제가 많아 요새 젊은 것들은"
37,37,갈취 대화,"야 나 오늘 지갑을 안가져왔는데 5만원만 빌려주라
 내가 급해서 그래 오늘꺼까지 해서 바로 줄게
 우리 사이에 왜그래
 이번 한번만 주면 다시는 달라고 안할게
 앞으로 너 안괴롭힐게 이번 한번만 주라"
38,38,직장 내 괴롭힘 대화,"그런데?
그런건 서무가 하는일 아니니?
나는 문자 못보내주겠다 니가 와서 해라
못들었니? 니가 와서 보내라고.
아 그건 모르겠고 니가 와서 보내든가 말든가해라 끊어라"
39,39,기타 괴롭힘 대화,"이게 왜 너야?
얼굴만 살짝 비슷한데? 뜬금없다.
아 예예 그래서요? 이거 내가 했다는 증거 있어? 내 핸드폰으로 남이 한 거일 수도 있잖아
싫은데?? 웃기잖아 돼지 같고 좋은데 뭐. 야 그리고 돼지얼굴에 돼지 몸 붙여준 게 잘못이야?
돼지 아니야? 너 걸을 때마다 꿀꿀 소리내잖아."
40,40,갈취 대화,"내놔 내놓으라고
뒤져서 나오면 어쩔래
없음 니가 일을하든 아님 집에 가서 받아가야지
이게 진짜 죽고싶나
아 이 미친년 넌 맞아야 정신차리지
이제 정신드냐
10만 가지고와라"
41,41,협박 대화,"니가 내돈 훔쳤지?
없어졌는데?? 지갑에 있던 돈이?
하 웃기고 있네 너 집이 찢어지게 가난하다며
어 도둑년이 당당하게 눈치켜뜨네??
너같은 년은 손목이 분질러져야 두번 다시 도둑질 못할건데 그렇지?
큰소리내지마 짜증나니까 손목은 분질러지고 입까지 막혀야 정신차릴래?"
42,42,직장 내 괴롭힘 대화,"야 조선생 이것 좀 해와
그래 여기 너말고 더 있냐?
뭐 그럼 내가 존칭까지 써가면서 불러야겠어? 일이나 제대로 해
일하고 저기 이따 저기 쓰레기도 좀 버리고 와라. 치료실이 너무 더럽다.
그럼 다 늙은 내가 하리?"
43,43,기타 괴롭힘 대화,"너 이번에 약속한 만큼 못 뺐더라?
그래도 못뺀거지 돼지야 어떻게 그정도도 못빼냐.
나도 그정도는 식은죽 먹기로 했어 어디서 돼지가 이상한 소리내냐.
돼지가 노력하면 이뻐진대. 돼지가 예쁘면 얼마나 예쁘다고 다 똑같은 돼지인데.
내동생이라는게 쪽팔리다 돼지야 돼지야 돼지야 넌 나보고 아는체 하지마."
44,44,갈취 대화," 네? 무슨 일이시죠?
 무슨 소리에요? 이렇게 주차 선 안에 차가 잘 들어가 있는데.
 말도 안되는 소리를 이렇게!
 말도 안 되는 소리 하지 마세요.
 이거 완전 사기꾼이네."
45,45,직장 내 괴롭힘 대화," 넌 남잔데 무슨 육아휴직이야
 그래서 너만 힘들 줄 아냐
 그래 쓸 순 있지 한번 써봐
 니가 휴직하고 와서 니 자리가 있는지 보라고
 지금 당장 그만두던가"
46,46,기타 괴롭힘 대화,"미친 새끼가 누구 보고 재형이래 더럽네
하.? 야 새끼야 내가 더 기분나빠 존제자체가 민폐인 새끼야
그래 내가 미안하니까 이제 그만해 잘못했어 
아니 웃긴 새끼네 야 날 나쁜사람으로 만드냐 그리고 니가 뭔데 명령을 해
착한 내가 참는다.
이 새끼가 미쳤구나 하교시간때 보자 먼지 나도록 맞을 준비하고
너 말이야 사람 잘못 건들었어 성적표 점수도 내려갈 준비하고"
47,47,기타 괴롭힘 대화,"야 제 민호봐바 팔 한짝 밖에 없어
야 뭘 놀린다고 그러냐 놀리는거 아니야
하. 이 시발럼이 야 뒤질래?
야 니가 화나게 하잖아 시발
야 놀리는거 아니라고 몇번을 말해 한 번더 말대꾸 해봐 다음엔 죽여버린다"
48,48,갈취 대화,"야 좋은말로 할때 놓고 가라
아니 그냥 빌리겠다고 빨리 벗고 가
야 내가 만만하냐 놓고 가라고
지랄하지말고 가진거 다 내놔
뭘 되돌려 줘 이새끼야"
49,49,협박 대화,"야 너가 게임 팀킬장인 맞냐?
야 클랜전이었는데 너 때문에 망한거잖아. 니 덕분에 우리 클랜 랭킹도 내려갔더라? 기분 좋냐?
그래 말 할 수 있을 때 계속 애기해봐. 말 할 수 있을 때까지
잘아네. 내가 현질해서 거기까지 올려놨구만 너가 다 망쳤는데 책임져야지. 니가 실컷 떠든것처럼 난 게임이랑 현실 구분 못 하니까 게임처럼 죽여볼게. 진짜 바로죽나
애초에 너가 그렇게 말했으면 바로 넘어갔을텐데. 왜 사람 자존감도 깍아내려가지고. 그 게임에서는 이 총 한번 헤드샷 날리면 바로 쓰러지러더라? 덕분에 실제로 그런지 테스트 해볼 수 있게 됐네 야 고맙다 고마워."
50,50,갈취 대화,"야 저기 지나가는 애가 좀 잘 산다며?
맞습니다. 어리버리하긴 해도 집안 하나는 끝내 준다고 하더라구요 
예 형님!!
네 저를요? 왜요??
야 너네 집이 좀 산다며? 우리가 놀아야 하는데 뭐가 없어서 말이야 지갑 좀 빌려주라
아 그래? 그럼 가방 뒤져서 돈 나오면 1000원에 얼굴 한대 맞는다? 맞고 줄래. 곱게 줄래??"
51,51,직장 내 괴롭힘 대화,"최대리는 이제 살 좀 빼야지
운동을 하고 있습니다
일은 제대로 하지도 않으면서 칼퇴는 잘만 하잖아요
운동을 하는 게 아니라 먹는 걸 줄이라는 거야
죄송합니다"
52,52,기타 괴롭힘 대화,"새우버거
아니 무슨 말이 그렇게 많아!
그래서 뭐를 준다는말이야? 주면 주라는대로 줘!
아 뭐가 다르냔말이야!!!!!!!!1
치즈를 빼고 주면 될꺼아냐!!!!!!!!!!!!!!!이 멍청아 무슨말이 그렇게 많아"
53,53,기타 괴롭힘 대화,"뭐?? 
너 지금 뭐라했어
당장 사과해
너 가만안둘꺼야
꺼져"
54,54,기타 괴롭힘 대화,"야! 너 왜 카톡방 나갔는데 다시 초대하고 지랄이야?
버러지 같은 게 아직 정신 못 차렸나보지
저 새끼가 뭐라고 하는거냐 머저리래 주제 파악 못하는 모지리는 너 아니냐 
나도 계속 이러면 가만히 있지 않을거야!
엄마 아빠한테 이를거야 이런 개찌질한 짓이라도 하려고?!"
55,55,협박 대화,"너가 뭔데 나보고 쓰라 말아야? 나한테 뭐 해준거 있어?
그래서 뭐 어쩌라고. 지금 나 내좇을 수 있는 사람 있어?
너 내가 죽여버릴거야. 각오해. 마스크? 그거 평생 안 쓰게 만들어줄게.
그니까 애초에 왜 내 신경을 건드려. 내가 지금은 이렇게 조용하지만 어릴적에는 여럿 패고 다녔어. 오랜만에 힘 좀 써야하네.
내가 뭐 어떻게 말하던 무슨 상관인가? 실제로 죽일것도 아닌데. 오늘 저녁에 죽을거 같을 때 신나게 신고하던지 끌끌"
56,56,기타 괴롭힘 대화,"사진 봐 못생겼다
팩트인데 뭐
사진 뭐야? 눈이 너무 작아
무슨 죄로?
메기 닮음"
57,57,갈취 대화,"너 돈 많냐? 돈 좀 빌리자.
 아 이 쪼잔하게. 그럼 확 뺏어?
 뺏을까 빌려줄래?
 돈 지금 가지고 있는 거 다 내놔.
 그냥 조금만 빌리는 거야. 알겠지?"
58,58,갈취 대화,"친구야
너 오늘 화장했어?
좀 잘먹었다 뭐썼어?
이번 신상아니야? 너무 이쁘다 나 갖구 싶어
그래? 별로 안비싸니까 니가 하나 새거사면 되겠다 그치?
얼른 줘 친구야"
59,59,기타 괴롭힘 대화,"어이 아가씨!!
이쁜데 어디 살아?
아 비싸게 굴지 말고. 몸매 죽이는데?
아 그러지 말고 나 좀 따라와 봐. 재밌는 거 보여줄게.
더럽게 비싸게 구네!! 좀 따라오라고!!"
60,60,직장 내 괴롭힘 대화,"인재씨 회사가 만만해요?
지난주에 저한테 사직 고려중이라고 말하지 않았나요
그럼 지금은 맘이 바뀌었습니까
어휴 그때 사직서를 받아놨어야 되는데
저는 인재씨 잘라버리고 싶어요. 일처리 똑바로 하세요"
61,61,갈취 대화,"무슨일이세요? 도와드릴께요. 다치신덴 없으세요?
아 그러시군요. 잠시 따뜻한 곳으로 옮기시죠
감사하면 보상을 해주셔야 될 것 같은데.
그럼 다른것으로라도 보답해야지. 제가 뭐하러 당신을 도와줬겠습니까?
그러니까 돈을 주던가 다른걸로 보답을 하던가 하라고!!"
62,62,기타 괴롭힘 대화,"어이 코털
왜? 아놔됐고 너 매점가서 곰보빵 두개에 콜라하나 사와라
돈없어? 그럼 내가 돈줄께
여기 1000원 줄테니까 빵두개 콜라하나 사고 거스름돈 거슬러와라
야 뒤질래? 쌔벼서라도 갖고와 색키야"
63,63,협박 대화,"오빠 저랑 사귀어주세요. 오빠 신인때부터 제가 응원해왔고 오빠가 여기까지 올라올수 있었던건 저 덕분이잖아요.!
오빠. 팬사인회에서 나 사랑한다면서요. 무대때도 내 쪽 계솓 쳐다봤으면서.!
오빠. 내가 오빠 앞에서 죽어버렸으면 좋겠어요? 오빠는 팬 죽는거 보고싶어요.?
오빠랑 사랑할수 없다면 전 죽어버릴거에요. 신문사 기자한테도 다 소문 퍼트려놨어요. 오빠가 저 임신시키고 낙태시켰다구요.
오빠. 나 오빠가 어제 연예인 랑 데이트하는거 봤어요. 오빤 날 배신했네.? 난 오빠만 바라봤는데. 비참해. 죽어버릴거야!!! 손목 그을거야. 오빠도 같이 나랑 천국 가. 다음생에 만나면 우리 평생 사랑해요."
64,64,기타 괴롭힘 대화,"아 김여사 진짜 짜증나네 아줌마 ! 차 좀 빨리 뺍시다
아 진짜 아줌마가 뭔 운전이야 집에서 밥이나 할 것이지 
말이 너무 심한 거 아녜요.?
저런 사람을 다 봤나! 하 어이가 없어서"
65,65,기타 괴롭힘 대화,"야 빵좀 사와 
아니 이 미친놈이 그럼 다른 애들 삥 뜯어서라도 구해와
이 새끼가 대들어? 그럼 빵을 훔쳐서라도 오라고 미친것아
아니 이 미친것이 우리가 우습나 그냥 니가 만만하니까 그런거지
아 아 그렇구나 그런식으로 말만 하지말고 빨리 사와 쓰레기야"
66,66,직장 내 괴롭힘 대화,"야 너 커피 좀 타와봐라
그래 여기서 그런 잡일 할 사람이 너 말고 누가 있는데?
어 씨 야 이거 먹으라고 탄 거 맞냐? 똑같은 믹스커피를 무슨 이렇게 맛대가리 없이 탔어 그리고 뭐 나 혓바닥 화상입어서 죽으라고 이렇게 뜨겁게 탔냐?
어떻게 잘하는 일이 하나도 없어 내가 다 안쓰러워 지려고 한다. 어떻게 지금까지 잘 살아있냐 잘하는것도 없는데
당연히 노력해야지 너 지금 이렇게 살면 뭐 3년? 뒤에 집에서 백수로 살아야 해 너 받아줄 회사 없다고 똑바로해"
67,67,기타 괴롭힘 대화,"야 저 사람봐봐 진짜 그 티비에 나오는 못생긴 개그맨 닮지 않았냐?
저기요 지금 저한테 말씀하신거에요???
아 그래요?
야 저 사람 못생긴 대신 귀는 밝은가봐
저기요 저한테 하신말 맞네요 저 지금 심각한 모욕감을 느끼고 있는데 빨리 사과하세요
제가 다들었어요 그 두분들도 잘생기신편은 아닌거같은데 그런말할 권리가 어디있나요 대체?"
68,68,직장 내 괴롭힘 대화,"아니 김대리 도대체 일처리가 이모양이냐?
 아 말대꾸 따박따박 같네
 야 내가 니 친구로 보이냐?
 너 진짜 회사에서 찍히고싶은거지?
 그냥 회사에서 쥐죽은듯이 살아"
69,69,협박 대화,"너 왜 내말 안듣는데?
말만 그렇게 하고 니가 하는게 없는데? 너 그럴때마다 진짜 죽이고 싶어
진심이야. 나 칼로 너 찌를 수 있어. 못할것같냐?
너같으면 진정되겠냐? 나 지금 칼 가져올거야.
계속 그런식이면 진짜 너 죽일거야"
70,70,기타 괴롭힘 대화,"니가 드디어 아들을 낳으니 내가 속이 다 시원하다.
 내가 그동안 명절마다 사돈에 안부 전화할때마다 네가 네 역할을 다하지 못해서 얼마나 창피한 줄 알았니? 얼굴도 들지도 못했다.
 니가 드디어 아기를 가졌으니 다행이야. 마침 아들이니 더욱 다행이고.
 근데 너 시험관하느라 몇 년 허비 한 거 알지? 니 나이가 몇인데 빨랑 둘째 가져.
 네가 큰 딸인데 그게 무슨 소리야? 빨랑 둘째 가져라. 애 키우느라 쉰다매. 어차피 시간도 많은데 병원 다니면서 힘써라."
71,71,협박 대화,"자네가 내일 삼송그룹 회장이 192억 탈세를 했다는 사실을 기사로 내보낸다는 기자인가?
좋은 말로 할 때 그 기사 올리지 말게. 당신은 천호초 앞 우미린 아파트 602동 101호에 살고 당신네 자식은 8시35분 경에 등교를 하여 4시에 딩동댕피아노학원에 가지?
지금까지 앞에 한 말 잘 들었을 거야. 우리가 왜 자네에게 이런 말을 했는지 모르겠나?
자네같은 기자만 수십 아니 하루에도 열 명씩 처리한다네. 이 세상엔 권력이면 자네 목숨값 하나정도야 쉬워
이 세상엔 경찰들이 있지 않습니까? 분명 폭로한다고 했던 기자가 죽는 것을 보고 공론화되어서 당신들이 다 죽인게 탄로날거에요
네 살려주세요"
72,72,갈취 대화,"승한아 나 버스비 충전해야하는데 돈이 없어. 5만원만 빌려주라
나 학교 그럼 못다녀. 좀 빌려줘
나 돈이 없어. 좀 빌려주라.
야. 좀 너무하네. 나는 당장 학교 올 돈도 없다고 그럼 걸어다니냐.
내가 너 용돈 받기 전까지 돌려줄게 그럼 되는거 아니야?"
73,73,직장 내 괴롭힘 대화,"나은씨
 가서 커피좀 타와
그럼 여기 나은씨가 둘인가?
왜? 나은씨 집에서 아빠한테도 커피 한번 안타줘봤어?
뭐??? 그럼 여기가 집이랑 같다고 생각하는거야??
 하고싶은거만 하면서 살 수 있다고 생각해? 가서 얼른 타와 입아프니까"
74,74,기타 괴롭힘 대화,"안녕하세요. 혹시 번호 알수있을까요?
한번만 주세요.
아니요 그냥 번호만 주세요.
이게 돌았나. 그냥 번호만 달라고.
번호만 주면 될것이지 왜 소리를 질러. 멍청해서 그런가.
그래 멍청!"
75,75,협박 대화,"저기요 이것좀 도와주세요
야 이 새끼 잡아
에휴 야도 별수없는 남자네 여자의 유혹에 바로 넘어가고
야 수고 했다 여기 너 보상
야 너 나 알지 넌 이제 죽었어
아 너가 경찰청장 아들이라며 니 아버지 때문에 우리식구가 얼마나 고생했는 줄 알아?
널 죽여야겠다. 개인적인 감정은 없다 너 아버지한테 빼고"
76,76,협박 대화,"그만 좀 꺼져
그냥 너 존재 자체가 짜증나
쳐맞고싶냐
그리고 너 동생 이쁘던데 
이쁘다고
건든다고 안 했는데? 죽고싶냐 이새끼야?"
77,77,기타 괴롭힘 대화,"어 그래 너 나중에 나한테 좀 맞자
얼굴도 거지같은게 
진짜 왜 그렇게 사냐? 재수없으려니까
너 한번만 더 그러면 자퇴시켜버린다
그걸 믿으라고? 됐고 말하기 싫으니까 꺼져"
78,78,기타 괴롭힘 대화,"네? 오천원어치 사셔서 제가 남는게 없어요 죄송해요
아 죄송해요 제가 다음에 오실때 더 드릴게요
아 정말 죄송합니다. 제가 여유분도 없어서
죄송해요. 양해 한번만 해주세요
.네 죄송해요"
79,79,갈취 대화,"김팀장 립스틱샀어? 이번 신상이네?
너무 이쁘다 나도 발라보자
어머 어머 나랑 톤도 잘맞네 이거 나좀 빌려주라
오늘 저녁 맞선보러 가는데 이 립스틱이 찰떡이라 수정화장할때 쓰면 좋을것같아
아니 누가 가져간대?? 쓰고 돌려주면 될거아니야 왜이렇게 심보가 못됐어? 내가 맞선 잘안됐으면 좋겠니?? 김팀장은?"
80,80,갈취 대화,"야 너 옆학교 애지? 잠깐 이리 와봐
내가 배가 너무 고픈데 돈이 없다 돈 좀 빌려줘라.
그래? 뒤져서 나오면 10원에 1대. 어때?
이 미친새끼 있으면서 거짓말쳤냐 나한테?
그러게 누가 거짓말 하래? 야 핸드폰 꺼내. 전자기기 다 꺼내고 손에 있는 시계도 풀르고 무선 이어폰도 빼.
쳐맞고싶냐? 죽고싶어? 좋은 말로 할 때 내놔
진작 말로 할 때 줄 것이지. 이제 꺼져."
